#,Pregunta,Fuente de Respuesta,Fuente de Pregunta,Satisfactorio,Número de Serie,Contenido de Pregunta,Respuesta de Referencia
150,Consulta marca,Guía al cliente,Cliente,Satisfactorio,110,¿Qué opciones tienen de COMPASAL?,"Tenemos excelentes opciones de COMPASAL. Para mostrarle los modelos disponibles y precios exactos, necesito que me proporcione los tres parámetros de su llanta: ancho, perfil y diámetro del aro. ¿Podría verificar esta información?"
151,Consulta marca,Guía al cliente,Cliente,Satisfactorio,111,¿Qué opciones tienen de COMPASAL?,"Tenemos excelentes opciones de COMPASAL. Para mostrarle los modelos disponibles y precios exactos, necesito que me proporcione los tres parámetros de su llanta: ancho, perfil y diámetro del aro. ¿Podría verificar esta información?"
152,Consulta marca,Guía al cliente,Cliente,Satisfactorio,112,Me interesan las SAFERICH,"Tenemos excelentes opciones de SAFERICH. Para mostrarle los modelos disponibles y precios exactos, necesito que me proporcione los tres parámetros de su llanta: ancho, perfil y diámetro del aro. ¿Podría verificar esta información?"
153,Consulta marca,Guía al cliente,Cliente,Satisfactorio,113,¿Qué opciones tienen de GOODYEAR?,"Tenemos excelentes opciones de GOODYEAR. Para mostrarle los modelos disponibles y precios exactos, necesito que me proporcione los tres parámetros de su llanta: ancho, perfil y diámetro del aro. ¿Podría verificar esta información?"
154,Consulta marca,Guía al cliente,Cliente,Satisfactorio,114,Busco llantas SAFERICH,"Tenemos excelentes opciones de SAFERICH. Para mostrarle los modelos disponibles y precios exactos, necesito que me proporcione los tres parámetros de su llanta: ancho, perfil y diámetro del aro. ¿Podría verificar esta información?"
155,Consulta marca,Guía al cliente,Cliente,Satisfactorio,115,¿Qué opciones tienen de ANSU OPTECO?,"Tenemos excelentes opciones de ANSU OPTECO. Para mostrarle los modelos disponibles y precios exactos, necesito que me proporcione los tres parámetros de su llanta: ancho, perfil y diámetro del aro. ¿Podría verificar esta información?"
156,Consulta marca,Guía al cliente,Cliente,Satisfactorio,116,¿Qué opciones tienen de GOODYEAR?,"Tenemos excelentes opciones de GOODYEAR. Para mostrarle los modelos disponibles y precios exactos, necesito que me proporcione los tres parámetros de su llanta: ancho, perfil y diámetro del aro. ¿Podría verificar esta información?"
157,Consulta marca,Guía al cliente,Cliente,Satisfactorio,117,Busco llantas GOODYEAR,"Tenemos excelentes opciones de GOODYEAR. Para mostrarle los modelos disponibles y precios exactos, necesito que me proporcione los tres parámetros de su llanta: ancho, perfil y diámetro del aro. ¿Podría verificar esta información?"
158,Consulta marca,Guía al cliente,Cliente,Satisfactorio,118,Busco llantas GOODYEAR,"Tenemos excelentes opciones de GOODYEAR. Para mostrarle los modelos disponibles y precios exactos, necesito que me proporcione los tres parámetros de su llanta: ancho, perfil y diámetro del aro. ¿Podría verificar esta información?"
159,Consulta marca,Guía al cliente,Cliente,Satisfactorio,119,¿Qué opciones tienen de SAFERICH?,"Tenemos excelentes opciones de SAFERICH. Para mostrarle los modelos disponibles y precios exactos, necesito que me proporcione los tres parámetros de su llanta: ancho, perfil y diámetro del aro. ¿Podría verificar esta información?"
160,Consulta marca,Guía al cliente,Cliente,Satisfactorio,120,Me interesan las JK TYRE,"Tenemos excelentes opciones de JK TYRE. Para mostrarle los modelos disponibles y precios exactos, necesito que me proporcione los tres parámetros de su llanta: ancho, perfil y diámetro del aro. ¿Podría verificar esta información?"
161,Consulta servicios,Información general,Cliente,Satisfactorio,121,¿Hacen instalación?,"Sí, incluimos instalación profesional, válvula nueva y balanceo."
162,Consulta servicios,Información general,Cliente,Satisfactorio,122,¿Aceptan tarjetas?,"Sí, todas las tarjetas excepto American Express. Meses sin intereses disponibles."
163,Consulta servicios,Información general,Cliente,Satisfactorio,123,¿Dan garantía?,12 meses contra defectos de fábrica. Desgaste normal no incluido.
164,Consulta servicios,Información general,Cliente,Satisfactorio,124,¿Reparan llantas?,"Sí, reparación $150 pesos. Si hay daño lateral no se puede reparar."
165,Consulta servicios,Información general,Cliente,Satisfactorio,125,¿Tienen descuentos?,Ofertas adicionales disponibles en compra presencial en tienda.
166,Consulta servicios,Información general,Cliente,Satisfactorio,126,¿Cuánto tarda la instalación?,Aproximadamente 30 minutos por vehículo con cita previa.
167,Consulta servicios,Información general,Cliente,Satisfactorio,127,¿Puedo apartar una llanta?,"Sí, con el 50% de anticipo. Disponible por 15 días."
168,Consulta servicios,Información general,Cliente,Satisfactorio,128,¿Cómo pago a meses?,3 meses sin intereses con tarjetas participantes.
169,Consulta servicios,Información general,Cliente,Satisfactorio,129,¿Qué incluye el precio?,Llanta + instalación + válvula + balanceo + inflado con nitrógeno.
170,Consulta servicios,Información general,Cliente,Satisfactorio,130,¿Atienden sábados?,"Sí, sábados de 9:00 a 15:00 horas."
171,Consulta servicios,Información general,Cliente,Satisfactorio,131,¿Dan factura?,"Sí, facturación disponible con RFC. Se envía por correo."
172,Consulta servicios,Información general,Cliente,Satisfactorio,132,¿Hay técnicos certificados?,"Sí, todo nuestro personal está capacitado y certificado."
173,Consulta servicios,Información general,Cliente,Satisfactorio,133,¿Revisan la llanta usada?,"Sí, revisamos y damos diagnóstico gratuito del estado."
174,Consulta servicios,Información general,Cliente,Satisfactorio,134,¿Balancean con pesas?,Usamos pesas de clip y adhesivas según tipo de rin.
175,Consulta servicios,Información general,Cliente,Satisfactorio,135,¿Calibran la presión?,"Sí, verificamos y ajustamos presión según especificaciones."
176,Consulta servicios,Información general,Cliente,Satisfactorio,136,¿Rotan las llantas?,"Sí, servicio de rotación disponible. Recomendado cada 10,000 km."
177,Consulta servicios,Información general,Cliente,Satisfactorio,137,¿Tienen promociones?,Promociones especiales en tienda. Consulte al llegar.
178,Consulta servicios,Información general,Cliente,Satisfactorio,138,¿Trabajan domingos?,"No, descansamos domingos. Lunes a sábado únicamente."
179,Consulta servicios,Información general,Cliente,Satisfactorio,139,¿Aceptan American Express?,"No, aceptamos todas las tarjetas excepto American Express."
180,Consulta servicios,Información general,Cliente,Satisfactorio,140,¿Cuánto dura la garantía?,12 meses contra defectos de fabricación. No cubre desgaste normal.
181,Consulta servicios,Información general,Cliente,Satisfactorio,141,¿Qué marcas manejan?,"Manejamos COMPASAL, BLACKHAWK, ANSU OPTECO, SAFERICH, GOODYEAR, JK TYRE y más."
182,Consulta servicios,Información general,Cliente,Satisfactorio,142,¿Hacen alineación?,"Sí, servicio de alineación disponible. Incluye revisión de geometría."
183,Consulta servicios,Información general,Cliente,Satisfactorio,143,¿Venden rines?,Nos enfocamos en neumáticos. Para rines podemos recomendar proveedores.
184,Consulta servicios,Información general,Cliente,Satisfactorio,144,¿Aceptan llantas usadas?,"No compramos llantas usadas, pero las recibimos al comprar nuevas."
185,Consulta servicios,Información general,Cliente,Satisfactorio,145,¿Tienen aire comprimido?,"Sí, servicio gratuito de inflado para clientes."
186,Consulta servicios,Información general,Cliente,Satisfactorio,146,¿Hacen diagnóstico?,"Sí, diagnóstico gratuito del estado de sus neumáticos."
187,Consulta servicios,Información general,Cliente,Satisfactorio,147,¿Cobran por balanceo?,El balanceo está incluido en la instalación.
188,Consulta servicios,Información general,Cliente,Satisfactorio,148,¿Tienen servicio express?,"Sí, con cita previa garantizamos servicio en 30 minutos."
189,Consulta servicios,Información general,Cliente,Satisfactorio,149,¿Atienden flotas?,"Sí, manejamos cuentas corporativas con descuentos especiales."
190,Consulta servicios,Información general,Cliente,Satisfactorio,150,¿Hacen facturación empresarial?,"Sí, facturamos a empresas con crédito aprobado."
191,Problemas técnicos,Solución y diagnóstico,Cliente,Satisfactorio,151,Mi llanta se está desinflando,"Puede ser pinchazo, válvula defectuosa o problema en el aro. ¿Hace cuánto notó el problema?"
192,Problemas técnicos,Solución y diagnóstico,Cliente,Satisfactorio,152,La llanta vibra al manejar,Puede necesitar balanceo o alineación. ¿La vibración es constante o solo a cierta velocidad?
193,Problemas técnicos,Solución y diagnóstico,Cliente,Satisfactorio,153,¿Qué hago si tengo una ponchadura?,"Pare en lugar seguro, use refacción si tiene. Ofrecemos servicio de reparación por $150."
194,Problemas técnicos,Solución y diagnóstico,Cliente,Satisfactorio,154,Mi llanta se ponchó en garantía,"Si es defecto de fábrica lo cubrimos. Si es pinchazo por objeto externo, tiene costo de reparación."
195,Problemas técnicos,Solución y diagnóstico,Cliente,Satisfactorio,155,La llanta que compré no sirve,Revisaremos su caso. ¿Cuál es el problema específico? ¿Tiene su ticket de compra?
196,Problemas técnicos,Solución y diagnóstico,Cliente,Satisfactorio,156,¿Por qué se desgasta rápido mi llanta?,"Puede ser presión incorrecta, desalineación o tipo de manejo. ¿Cada cuánto revisa la presión?"
197,Problemas técnicos,Solución y diagnóstico,Cliente,Satisfactorio,157,Mi carro jala hacia un lado,Puede ser problema de alineación o presiones desiguales. ¿Desde cuándo lo nota?
198,Problemas técnicos,Solución y diagnóstico,Cliente,Satisfactorio,158,La llanta hace ruido al rodar,Puede ser desgaste irregular o objeto incrustado. ¿El ruido es constante?
199,Problemas técnicos,Solución y diagnóstico,Cliente,Satisfactorio,159,¿Cuándo debo cambiar mis llantas?,Cuando el indicador de desgaste esté al nivel de la banda o haya pasado 5 años.
200,Problemas técnicos,Solución y diagnóstico,Cliente,Satisfactorio,160,Mi llanta tiene una burbuja,Es peligroso manejar así. La llanta debe cambiarse inmediatamente por seguridad.
